District,Total,Date,Vac
Chennai,859997.0,07-04-2021,12112.6338
Coimbatore,210798.0,07-04-2021,6070.360407
Cuddalore,81335.0,07-04-2021,3127.21079
Dharmapuri,52007.0,07-04-2021,3460.443143
Dindigul,70189.0,07-04-2021,3247.435535
Erode,74568.0,07-04-2021,3300.041423
Kallakurichi,34570.0,07-04-2021,2522.840206
Kancheepuram,38553.0,07-04-2021,3305.29552
Kanniyakumari,64074.0,07-04-2021,3438.96289
Karur,36568.0,07-04-2021,3396.656846
Krishnagiri,87525.0,07-04-2021,4646.364051
Madurai,135747.0,07-04-2021,3401.295603
Nagapattinam,33791.0,07-04-2021,2093.528839
Namakkal,85860.0,07-04-2021,11680.50433
The Nilgiris,78776.0,07-04-2021,3187.734651
Perambalur,21594.0,07-04-2021,1254.605128
Pudukkottai,46085.0,07-04-2021,8163.702744
Ramanathapuram,37104.0,07-04-2021,1933.784154
Ranipet,25032.0,07-04-2021,1871.467448
Salem,207909.0,07-04-2021,17178.62936
Sivagangai,39410.0,07-04-2021,1132.468661
Tenkasi,36010.0,07-04-2021,2684.808947
Thanjavur,85328.0,07-04-2021,6061.833142
Theni,30172.0,07-04-2021,1111.775192
Thoothukudi,40451.0,07-04-2021,3252.514304
Tiruchirapalli,122208.0,07-04-2021,7338.704689
Tirunelveli,41431.0,07-04-2021,1724.293641
Tirupathur,33856.0,07-04-2021,1947.564854
Tiruppur,74267.0,07-04-2021,6679.816372
Tiruvallur,97690.0,07-04-2021,2622.059711
Tiruvannamalai,48316.0,07-04-2021,3810.12764
Tiruvarur,22535.0,07-04-2021,912.7306381
Vellore,94093.0,07-04-2021,5828.927757
Villupuram,76269.0,07-04-2021,3643.998599
Virudhunagar,117326.0,07-04-2021,6037.434088
Ariyalur,45522.0,07-05-2021,6049.587963
Chengalpattu,270924.0,07-05-2021,10598.51876
Chennai,1567071.0,07-05-2021,22071.42254
